377152 the co goc | da co 87155 mau trong data/data_pikafish_s21.jsonl | phan bo hien tai {'khai_cuoc': 21284, 'trung_cuoc': 44607, 'tan_cuoc': 21264}
227655/1340000 | van 1882 | khai 24% trung 52% tan 24% | 2364 mau/phut
228155/1340000 | van 1887 | khai 24% trung 52% tan 24% | 2371 mau/phut
228655/1340000 | van 1894 | khai 24% trung 52% tan 24% | 2378 mau/phut
229155/1340000 | van 1900 | khai 24% trung 52% tan 24% | 2384 mau/phut
229655/1340000 | van 1907 | khai 24% trung 52% tan 24% | 2390 mau/phut
230155/1340000 | van 1914 | khai 24% trung 52% tan 24% | 2397 mau/phut
230655/1340000 | van 1921 | khai 24% trung 52% tan 24% | 2403 mau/phut
231155/1340000 | van 1926 | khai 24% trung 52% tan 24% | 2409 mau/phut
231655/1340000 | van 1933 | khai 24% trung 52% tan 24% | 2415 mau/phut
232155/1340000 | van 1940 | khai 24% trung 52% tan 24% | 2421 mau/phut
232655/1340000 | van 1947 | khai 24% trung 52% tan 24% | 2428 mau/phut
233155/1340000 | van 1954 | khai 24% trung 52% tan 24% | 2434 mau/phut
233655/1340000 | van 1959 | khai 24% trung 52% tan 24% | 2441 mau/phut
234155/1340000 | van 1967 | khai 24% trung 52% tan 24% | 2447 mau/phut
234655/1340000 | van 1974 | khai 24% trung 52% tan 24% | 2454 mau/phut
235155/1340000 | van 1981 | khai 24% trung 52% tan 24% | 2461 mau/phut
235655/1340000 | van 1989 | khai 24% trung 52% tan 24% | 2467 mau/phut
236155/1340000 | van 1994 | khai 24% trung 52% tan 24% | 2474 mau/phut
236655/1340000 | van 2001 | khai 24% trung 52% tan 24% | 2480 mau/phut
237155/1340000 | van 2007 | khai 24% trung 52% tan 24% | 2487 mau/phut
237655/1340000 | van 2014 | khai 24% trung 52% tan 24% | 2493 mau/phut
238155/1340000 | van 2020 | khai 24% trung 52% tan 24% | 2499 mau/phut
238655/1340000 | van 2027 | khai 24% trung 52% tan 24% | 2505 mau/phut
239155/1340000 | van 2033 | khai 24% trung 52% tan 24% | 2511 mau/phut
239655/1340000 | van 2041 | khai 24% trung 52% tan 24% | 2517 mau/phut
240155/1340000 | van 2048 | khai 24% trung 52% tan 24% | 2523 mau/phut
240655/1340000 | van 2056 | khai 24% trung 52% tan 24% | 2529 mau/phut
241155/1340000 | van 2063 | khai 24% trung 52% tan 24% | 2536 mau/phut
241655/1340000 | van 2069 | khai 24% trung 52% tan 24% | 2542 mau/phut
242155/1340000 | van 2076 | khai 24% trung 52% tan 24% | 2548 mau/phut
242655/1340000 | van 2083 | khai 24% trung 52% tan 24% | 2554 mau/phut
243155/1340000 | van 2090 | khai 24% trung 52% tan 24% | 2560 mau/phut
243655/1340000 | van 2097 | khai 24% trung 52% tan 24% | 2566 mau/phut
244155/1340000 | van 2103 | khai 24% trung 52% tan 24% | 2572 mau/phut
244655/1340000 | van 2110 | khai 24% trung 52% tan 24% | 2578 mau/phut
245155/1340000 | van 2116 | khai 24% trung 52% tan 24% | 2584 mau/phut
245655/1340000 | van 2123 | khai 24% trung 52% tan 24% | 2590 mau/phut
246155/1340000 | van 2129 | khai 24% trung 52% tan 24% | 2596 mau/phut
246655/1340000 | van 2136 | khai 24% trung 52% tan 24% | 2603 mau/phut
247155/1340000 | van 2143 | khai 24% trung 52% tan 24% | 2609 mau/phut
247655/1340000 | van 2149 | khai 24% trung 52% tan 24% | 2615 mau/phut
248155/1340000 | van 2156 | khai 24% trung 52% tan 24% | 2620 mau/phut
248655/1340000 | van 2162 | khai 24% trung 52% tan 24% | 2626 mau/phut
249155/1340000 | van 2169 | khai 24% trung 52% tan 24% | 2632 mau/phut
249655/1340000 | van 2176 | khai 24% trung 52% tan 24% | 2638 mau/phut
250155/1340000 | van 2183 | khai 24% trung 52% tan 24% | 2642 mau/phut
250655/1340000 | van 2189 | khai 24% trung 52% tan 24% | 2646 mau/phut
251155/1340000 | van 2198 | khai 24% trung 52% tan 24% | 2652 mau/phut
251655/1340000 | van 2204 | khai 24% trung 52% tan 24% | 2658 mau/phut
252155/1340000 | van 2211 | khai 24% trung 52% tan 24% | 2664 mau/phut
252655/1340000 | van 2218 | khai 24% trung 52% tan 24% | 2669 mau/phut
253155/1340000 | van 2225 | khai 24% trung 52% tan 24% | 2675 mau/phut
253655/1340000 | van 2231 | khai 24% trung 52% tan 24% | 2681 mau/phut
254155/1340000 | van 2237 | khai 24% trung 52% tan 24% | 2686 mau/phut
254655/1340000 | van 2243 | khai 24% trung 52% tan 24% | 2691 mau/phut
255155/1340000 | van 2250 | khai 24% trung 52% tan 24% | 2697 mau/phut
255655/1340000 | van 2257 | khai 24% trung 52% tan 24% | 2702 mau/phut
256155/1340000 | van 2264 | khai 24% trung 52% tan 24% | 2707 mau/phut
256655/1340000 | van 2272 | khai 24% trung 52% tan 24% | 2713 mau/phut
257155/1340000 | van 2279 | khai 24% trung 52% tan 24% | 2718 mau/phut
257655/1340000 | van 2287 | khai 24% trung 52% tan 24% | 2724 mau/phut
258155/1340000 | van 2295 | khai 24% trung 52% tan 24% | 2730 mau/phut
